Pokemon,Pokeball,HP%,Status,Noise,Catch_Rate,Weight,Type,Success_Rate,Avg_Capture_Probability,Std_Capture_Probability,Attempts
caterpie,pokeball,10,NONE,0.0,255,6.4,"BUG, NONE",0.97,0.93,0.0,30
caterpie,pokeball,10,NONE,0.05,255,6.4,"BUG, NONE",0.9,0.92,0.041,30
caterpie,pokeball,10,NONE,0.1,255,6.4,"BUG, NONE",0.9,0.9,0.086,30
caterpie,pokeball,10,NONE,0.15,255,6.4,"BUG, NONE",0.9,0.89,0.122,30
caterpie,pokeball,10,PARALYSIS,0.0,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,10,PARALYSIS,0.05,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,10,PARALYSIS,0.1,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,10,PARALYSIS,0.15,255,6.4,"BUG, NONE",1.0,0.99,0.027,30
caterpie,pokeball,10,SLEEP,0.0,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,10,SLEEP,0.05,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,10,SLEEP,0.1,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,10,SLEEP,0.15,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,20,NONE,0.0,255,6.4,"BUG, NONE",0.93,0.86,0.0,30
caterpie,pokeball,20,NONE,0.05,255,6.4,"BUG, NONE",0.77,0.87,0.044,30
caterpie,pokeball,20,NONE,0.1,255,6.4,"BUG, NONE",0.9,0.88,0.078,30
caterpie,pokeball,20,NONE,0.15,255,6.4,"BUG, NONE",0.93,0.89,0.119,30
caterpie,pokeball,20,PARALYSIS,0.0,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,20,PARALYSIS,0.05,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,20,PARALYSIS,0.1,255,6.4,"BUG, NONE",1.0,1.0,0.003,30
caterpie,pokeball,20,PARALYSIS,0.15,255,6.4,"BUG, NONE",1.0,0.99,0.025,30
caterpie,pokeball,20,SLEEP,0.0,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,20,SLEEP,0.05,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,20,SLEEP,0.1,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,20,SLEEP,0.15,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,30,NONE,0.0,255,6.4,"BUG, NONE",0.8,0.8,0.0,30
caterpie,pokeball,30,NONE,0.05,255,6.4,"BUG, NONE",0.9,0.8,0.042,30
caterpie,pokeball,30,NONE,0.1,255,6.4,"BUG, NONE",0.83,0.79,0.079,30
caterpie,pokeball,30,NONE,0.15,255,6.4,"BUG, NONE",0.83,0.84,0.097,30
caterpie,pokeball,30,PARALYSIS,0.0,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,30,PARALYSIS,0.05,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,30,PARALYSIS,0.1,255,6.4,"BUG, NONE",1.0,0.99,0.045,30
caterpie,pokeball,30,PARALYSIS,0.15,255,6.4,"BUG, NONE",1.0,0.99,0.036,30
caterpie,pokeball,30,SLEEP,0.0,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,30,SLEEP,0.05,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,30,SLEEP,0.1,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,30,SLEEP,0.15,255,6.4,"BUG, NONE",1.0,0.99,0.04,30
caterpie,pokeball,40,NONE,0.0,255,6.4,"BUG, NONE",0.73,0.73,0.0,30
caterpie,pokeball,40,NONE,0.05,255,6.4,"BUG, NONE",0.6,0.73,0.032,30
caterpie,pokeball,40,NONE,0.1,255,6.4,"BUG, NONE",0.83,0.73,0.076,30
caterpie,pokeball,40,NONE,0.15,255,6.4,"BUG, NONE",0.67,0.74,0.118,30
caterpie,pokeball,40,PARALYSIS,0.0,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,40,PARALYSIS,0.05,255,6.4,"BUG, NONE",1.0,1.0,0.002,30
caterpie,pokeball,40,PARALYSIS,0.1,255,6.4,"BUG, NONE",0.97,0.97,0.062,30
caterpie,pokeball,40,PARALYSIS,0.15,255,6.4,"BUG, NONE",0.97,0.98,0.038,30
caterpie,pokeball,40,SLEEP,0.0,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,40,SLEEP,0.05,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,40,SLEEP,0.1,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,40,SLEEP,0.15,255,6.4,"BUG, NONE",1.0,0.99,0.031,30
caterpie,pokeball,50,NONE,0.0,255,6.4,"BUG, NONE",0.57,0.66,0.0,30
caterpie,pokeball,50,NONE,0.05,255,6.4,"BUG, NONE",0.63,0.66,0.034,30
caterpie,pokeball,50,NONE,0.1,255,6.4,"BUG, NONE",0.67,0.65,0.078,30
caterpie,pokeball,50,NONE,0.15,255,6.4,"BUG, NONE",0.8,0.66,0.099,30
caterpie,pokeball,50,PARALYSIS,0.0,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,50,PARALYSIS,0.05,255,6.4,"BUG, NONE",1.0,0.97,0.045,30
caterpie,pokeball,50,PARALYSIS,0.1,255,6.4,"BUG, NONE",0.93,0.95,0.058,30
caterpie,pokeball,50,PARALYSIS,0.15,255,6.4,"BUG, NONE",0.9,0.94,0.076,30
caterpie,pokeball,50,SLEEP,0.0,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,50,SLEEP,0.05,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,50,SLEEP,0.1,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,50,SLEEP,0.15,255,6.4,"BUG, NONE",1.0,1.0,0.0,30
caterpie,pokeball,60,NONE,0.0,255,6.4,"BUG, NONE",0.5,0.6,0.0,30
